Datetime,Close,High,Low,Open,Volume
2026-04-06 03:45:00+00:00,6591.0,6699.5,6578.0,6699.5,0
2026-04-06 03:50:00+00:00,6588.0,6611.5,6584.0,6606.0,18146
2026-04-06 03:55:00+00:00,6610.5,6614.0,6588.5,6588.5,13990
2026-04-06 04:00:00+00:00,6651.0,6653.5,6601.0,6607.5,24185
2026-04-06 04:05:00+00:00,6674.5,6694.5,6655.0,6655.0,20349
2026-04-06 04:10:00+00:00,6664.0,6682.5,6640.0,6676.5,21563
2026-04-06 04:15:00+00:00,6675.0,6679.0,6660.0,6664.0,18420
2026-04-06 04:20:00+00:00,6647.5,6671.5,6647.5,6671.5,7862
2026-04-06 04:25:00+00:00,6640.5,6653.5,6639.0,6650.0,4773
2026-04-06 04:30:00+00:00,6642.0,6649.5,6637.0,6640.5,4103
2026-04-06 04:35:00+00:00,6650.0,6659.0,6639.0,6642.0,7823
2026-04-06 04:40:00+00:00,6653.5,6670.0,6642.5,6645.0,10957
2026-04-06 04:45:00+00:00,6609.5,6658.5,6601.0,6655.5,14844
2026-04-06 04:50:00+00:00,6608.5,6618.5,6607.0,6611.0,6864
2026-04-06 04:55:00+00:00,6613.5,6617.0,6596.0,6605.0,9697
2026-04-06 05:00:00+00:00,6623.0,6624.5,6600.5,6614.0,7374
2026-04-06 05:05:00+00:00,6625.5,6639.0,6621.5,6623.0,7051
2026-04-06 05:10:00+00:00,6606.0,6620.0,6600.0,6620.0,4679
2026-04-06 05:15:00+00:00,6609.5,6614.0,6600.0,6606.5,3530
2026-04-06 05:20:00+00:00,6605.5,6619.5,6602.0,6608.0,5999
2026-04-06 05:25:00+00:00,6609.0,6613.0,6603.0,6606.5,3896
2026-04-06 05:30:00+00:00,6597.0,6609.0,6596.0,6609.0,4468
2026-04-06 05:35:00+00:00,6600.5,6605.5,6597.0,6599.0,2132
2026-04-06 05:40:00+00:00,6598.0,6598.0,6586.5,6597.5,8220
2026-04-06 05:45:00+00:00,6595.0,6599.0,6591.0,6598.0,2189
2026-04-06 05:50:00+00:00,6592.0,6600.0,6588.0,6598.0,4598
2026-04-06 05:55:00+00:00,6598.5,6599.5,6590.0,6590.0,1896
2026-04-06 06:00:00+00:00,6595.5,6599.5,6590.0,6599.0,2726
2026-04-06 06:05:00+00:00,6594.5,6599.0,6591.0,6592.5,4403
2026-04-06 06:10:00+00:00,6605.0,6605.0,6593.5,6594.0,4506
2026-04-06 06:15:00+00:00,6601.0,6607.5,6598.5,6603.5,4039
2026-04-06 06:20:00+00:00,6597.5,6610.0,6595.5,6600.0,6254
2026-04-06 06:25:00+00:00,6592.0,6604.0,6589.0,6595.0,7052
2026-04-06 06:30:00+00:00,6585.0,6596.5,6585.0,6592.0,12384
2026-04-06 06:35:00+00:00,6590.0,6594.0,6582.0,6585.0,3486
2026-04-06 06:40:00+00:00,6578.5,6591.5,6575.0,6590.0,5155
2026-04-06 06:45:00+00:00,6573.5,6580.0,6572.5,6575.0,4881
2026-04-06 06:50:00+00:00,6585.5,6598.0,6573.0,6574.0,6110
2026-04-06 06:55:00+00:00,6591.5,6594.5,6583.0,6583.0,4979
2026-04-06 07:00:00+00:00,6583.0,6598.5,6580.0,6592.5,6317
2026-04-06 07:05:00+00:00,6584.0,6587.0,6581.0,6583.5,4487
2026-04-06 07:10:00+00:00,6599.0,6604.0,6580.0,6586.0,11016
2026-04-06 07:15:00+00:00,6608.5,6611.5,6597.0,6599.5,29547
2026-04-06 07:20:00+00:00,6603.5,6614.0,6602.0,6610.5,15601
2026-04-06 07:25:00+00:00,6617.5,6619.5,6603.5,6604.0,21012
2026-04-06 07:30:00+00:00,6597.0,6623.5,6597.0,6617.5,15477
2026-04-06 07:35:00+00:00,6598.0,6606.5,6597.0,6597.5,21561
2026-04-06 07:40:00+00:00,6611.5,6616.5,6598.5,6601.0,13869
2026-04-06 07:45:00+00:00,6612.5,6619.5,6604.0,6611.5,11884
2026-04-06 07:50:00+00:00,6619.0,6621.5,6606.5,6612.5,17026
2026-04-06 07:55:00+00:00,6612.0,6624.0,6603.0,6620.0,23874
2026-04-06 08:00:00+00:00,6617.0,6628.0,6612.0,6612.0,17350
2026-04-06 08:05:00+00:00,6603.0,6620.5,6603.0,6619.0,15736
2026-04-06 08:10:00+00:00,6604.0,6613.5,6595.0,6603.0,21670
2026-04-06 08:15:00+00:00,6597.0,6609.5,6597.0,6603.0,5146
2026-04-06 08:20:00+00:00,6606.0,6608.0,6598.5,6598.5,6698
2026-04-06 08:25:00+00:00,6603.5,6608.5,6600.0,6606.5,4849
2026-04-06 08:30:00+00:00,6614.0,6616.5,6603.5,6605.0,21018
2026-04-06 08:35:00+00:00,6597.5,6617.0,6597.5,6610.0,23380
2026-04-06 08:40:00+00:00,6607.0,6612.0,6596.0,6597.5,22587
2026-04-06 08:45:00+00:00,6608.0,6617.0,6603.0,6607.0,25286
2026-04-06 08:50:00+00:00,6604.0,6610.0,6604.0,6607.5,8520
2026-04-06 08:55:00+00:00,6601.5,6605.0,6597.0,6602.0,8062
2026-04-06 09:00:00+00:00,6606.5,6610.0,6603.0,6603.0,10164
