Datetime,Close,High,Low,Open,Volume
2026-04-06 03:45:00+00:00,5012.0,5072.5,4991.5,5071.0,0
2026-04-06 03:50:00+00:00,5024.0,5031.5,5010.0,5027.0,10093
2026-04-06 03:55:00+00:00,5048.5,5049.0,5024.5,5024.5,7569
2026-04-06 04:00:00+00:00,5082.5,5085.0,5042.0,5049.5,8140
2026-04-06 04:05:00+00:00,5079.0,5096.0,5079.0,5082.5,6682
2026-04-06 04:10:00+00:00,5070.0,5081.5,5052.5,5080.0,7266
2026-04-06 04:15:00+00:00,5078.0,5082.5,5071.5,5071.5,5965
2026-04-06 04:20:00+00:00,5078.5,5082.5,5063.5,5077.5,4254
2026-04-06 04:25:00+00:00,5053.0,5080.5,5053.0,5079.0,3070
2026-04-06 04:30:00+00:00,5049.0,5055.0,5041.0,5052.5,5640
2026-04-06 04:35:00+00:00,5058.5,5064.0,5047.0,5051.5,4622
2026-04-06 04:40:00+00:00,5061.5,5065.0,5052.5,5057.0,3211
2026-04-06 04:45:00+00:00,5057.0,5071.5,5046.0,5068.0,5732
2026-04-06 04:50:00+00:00,5047.0,5058.5,5047.0,5052.0,2438
2026-04-06 04:55:00+00:00,5041.0,5045.0,5031.5,5041.0,14010
2026-04-06 05:00:00+00:00,5043.5,5043.5,5029.0,5039.0,2634
2026-04-06 05:05:00+00:00,5044.5,5051.5,5043.0,5043.5,3443
2026-04-06 05:10:00+00:00,5051.0,5051.0,5038.0,5046.0,3192
2026-04-06 05:15:00+00:00,5058.0,5059.5,5045.0,5047.5,4750
2026-04-06 05:20:00+00:00,5057.5,5067.0,5053.0,5056.5,4854
2026-04-06 05:25:00+00:00,5054.5,5059.0,5050.0,5055.0,5500
2026-04-06 05:30:00+00:00,5033.5,5056.5,5033.5,5056.5,4425
2026-04-06 05:35:00+00:00,5036.5,5038.0,5030.0,5035.0,2834
2026-04-06 05:40:00+00:00,5024.0,5035.0,5014.5,5034.0,4617
2026-04-06 05:45:00+00:00,5026.5,5027.5,5016.0,5023.0,2453
2026-04-06 05:50:00+00:00,5025.0,5030.5,5019.5,5025.0,2365
2026-04-06 05:55:00+00:00,5032.5,5033.0,5025.0,5026.5,2503
2026-04-06 06:00:00+00:00,5024.5,5037.5,5022.0,5033.0,2653
2026-04-06 06:05:00+00:00,5025.0,5037.5,5021.0,5024.5,3408
2026-04-06 06:10:00+00:00,5034.5,5034.5,5021.0,5028.0,1999
2026-04-06 06:15:00+00:00,5045.0,5047.5,5031.5,5032.0,5457
2026-04-06 06:20:00+00:00,5040.0,5052.0,5040.0,5045.0,2656
2026-04-06 06:25:00+00:00,5044.0,5047.5,5036.5,5043.0,2633
2026-04-06 06:30:00+00:00,5047.5,5058.5,5044.0,5044.0,3066
2026-04-06 06:35:00+00:00,5041.5,5051.0,5041.5,5048.0,1693
2026-04-06 06:40:00+00:00,5035.5,5042.0,5032.5,5038.5,1352
2026-04-06 06:45:00+00:00,5037.5,5041.0,5033.5,5033.5,985
2026-04-06 06:50:00+00:00,5043.0,5056.0,5037.0,5037.0,4289
2026-04-06 06:55:00+00:00,5046.0,5049.0,5040.5,5047.0,1176
2026-04-06 07:00:00+00:00,5032.0,5049.5,5030.0,5045.0,2452
2026-04-06 07:05:00+00:00,5055.5,5055.5,5030.0,5031.5,12462
2026-04-06 07:10:00+00:00,5056.5,5064.0,5053.0,5055.0,9879
2026-04-06 07:15:00+00:00,5072.5,5078.0,5055.5,5055.5,10845
2026-04-06 07:20:00+00:00,5077.5,5088.0,5071.5,5072.5,9926
2026-04-06 07:25:00+00:00,5084.5,5089.5,5077.5,5077.5,7140
2026-04-06 07:30:00+00:00,5074.0,5087.5,5071.5,5086.0,2681
2026-04-06 07:35:00+00:00,5085.0,5087.0,5073.0,5073.0,1800
2026-04-06 07:40:00+00:00,5085.5,5092.0,5083.0,5084.5,4217
2026-04-06 07:45:00+00:00,5083.0,5087.0,5082.0,5085.0,884
2026-04-06 07:50:00+00:00,5083.0,5087.0,5078.5,5081.0,2181
2026-04-06 07:55:00+00:00,5078.0,5085.0,5075.0,5083.5,625
2026-04-06 08:00:00+00:00,5081.0,5081.0,5077.5,5078.0,809
2026-04-06 08:05:00+00:00,5074.5,5083.0,5074.5,5081.0,578
2026-04-06 08:10:00+00:00,5074.0,5076.0,5070.0,5072.0,1699
2026-04-06 08:15:00+00:00,5077.5,5084.0,5073.0,5073.0,5479
2026-04-06 08:20:00+00:00,5085.0,5087.0,5079.0,5079.0,2104
2026-04-06 08:25:00+00:00,5081.5,5085.0,5080.0,5083.5,1962
2026-04-06 08:30:00+00:00,5092.0,5092.0,5081.0,5081.5,6593
2026-04-06 08:35:00+00:00,5080.5,5097.0,5079.0,5094.0,3254
2026-04-06 08:40:00+00:00,5109.0,5109.0,5080.5,5080.5,5642
2026-04-06 08:45:00+00:00,5118.0,5120.0,5104.0,5108.5,7004
2026-04-06 08:50:00+00:00,5104.0,5122.0,5104.0,5118.0,6205
2026-04-06 08:55:00+00:00,5099.5,5104.5,5094.0,5104.0,2446
2026-04-06 09:00:00+00:00,5098.0,5103.5,5095.0,5096.0,1667
2026-04-06 09:05:00+00:00,5094.0,5101.0,5093.5,5097.0,1684
2026-04-06 09:10:00+00:00,5091.5,5094.0,5084.5,5094.0,4906
