year,month,total_return_pct,trading_days,win_days,avg_daily_pnl,win_rate_pct,month_name
2025,10,-2.7907193851894267,14,3,-1993.3709894210192,21.4,Oct
2025,11,-1.9665568186542899,19,8,-1035.0299045548895,42.1,Nov
2025,12,-6.391521155051587,22,4,-2905.236888659812,18.2,Dec
2026,1,-5.206182410938788,21,6,-2479.134481399423,28.6,Jan
2026,2,-2.9327908217733407,20,8,-1466.3954108866706,40.0,Feb
2026,3,-8.376476543694286,19,5,-4408.671865102256,26.3,Mar
2026,4,2.7066280763276764,7,4,3866.611537610967,57.1,Apr
