year,month,total_return_pct,trading_days,win_days,avg_daily_pnl,win_rate_pct,month_name
2025,4,5.736887014323208,10,10,5736.887014323207,100.0,Apr
2025,5,9.679298611542919,21,19,4609.189815020438,90.5,May
2025,6,8.134431560589608,21,20,3873.5388383760037,95.2,Jun
2025,7,7.963747126968874,23,21,3462.4987508560325,91.3,Jul
2025,8,9.717554768335301,19,16,5114.502509650159,84.2,Aug
2025,9,9.262980641100416,22,19,4210.445745954735,86.4,Sep
2025,10,10.288553997341937,21,21,4899.3114273056835,100.0,Oct
2025,11,7.046114646947345,19,18,3708.4813931301815,94.7,Nov
2025,12,5.707348539874759,22,21,2594.2493363067083,95.5,Dec
2026,1,15.049743835930746,21,19,7166.544683776547,90.5,Jan
2026,2,13.75205751650191,20,18,6876.028758250955,90.0,Feb
2026,3,16.831001288337838,19,15,8858.421730704125,78.9,Mar
2026,4,3.9844123017396975,7,6,5692.017573913853,85.7,Apr
